x,Lx,Fx
0,0.97765094,0
1,0.97290545,0
2,0.97153462,0
3,0.97044408,0
4,0.96956725,0
5,0.96885127,0
6,0.96825403,0
7,0.96774071,0
8,0.96728304,0
9,0.96685923,0
10,0.96645398,0
11,0.96605516,0
12,0.96565141,0
13,0.96523275,0
14,0.96479022,0
15,0.96431601,0.032427
16,0.96380371,0.059713
17,0.96324898,0.088751
18,0.96264975,0.115951
19,0.96200617,0.13253
20,0.96132007,0.137525
21,0.96059402,0.136757
22,0.95983071,0.132085
23,0.95903236,0.127126
24,0.95820044,0.122581
25,0.95733553,0.118012
26,0.95643721,0.113046
27,0.955504,0.107528
28,0.95453337,0.101357
29,0.95352175,0.094352
30,0.95246468,0.086563
31,0.95135684,0.0788
32,0.95019215,0.071169
33,0.94896383,0.063757
34,0.94766449,0.056606
35,0.94628613,0.04989
36,0.94482016,0.043462
37,0.94325731,0.037386
38,0.94158748,0.031603
39,0.93979941,0.025874
40,0.93788039,0.02009
41,0.93581589,0.01507
42,0.93358945,0.010744
43,0.93118272,0.007243
44,0.92857585,0.004619
45,0.92574808,0.002855
46,0.92267836,0.002056
47,0.9193459,0.001377
48,0.91573047,0.000713
49,0.91181218,0.00028
50,0.907571,0
51,0.90298604,0
52,0.89803469,0
53,0.89269175,0
54,0.8869284,0
55,0.88071108,0
56,0.87400036,0
57,0.86675004,0
58,0.85890658,0
59,0.85040904,0
60,0.84118922,0
61,0.83117236,0
62,0.8202778,0
63,0.80841987,0
64,0.79550914,0
65,0.78145409,0
66,0.7661631,0
67,0.74954664,0
68,0.73151961,0
69,0.7120035,0
70,0.6909287,0
71,0.66823685,0
72,0.64388329,0
73,0.61783964,0
74,0.59009663,0
75,0.56088204,0
76,0.530473,0
77,0.49898479,0
78,0.46656457,0
79,0.43339321,0
80,0.39968591,0
81,0.36569168,0
82,0.33169105,0
83,0.29799203,0
84,0.26492377,0
85,0.23282819,0
86,0.20204919,0
87,0.172945,0
88,0.14588758,0
89,0.12119894,0
90,0.09909571,0
91,0.07968011,0
92,0.06294763,0
93,0.04880396,0
94,0.03708608,0
95,0.02757917,0
96,0.02004928,0
97,0.01424119,0
98,0.00987521,0
99,0.00667964,0
100,0.01152371,0
